conv_id,iter_id,appended_input,total_input,out_token_size,carried_over
0,0,17912,17912,146,0
0,1,67,18125,40,18058
0,2,67,18232,58,18165
0,3,67,18357,37,18290
0,4,67,18461,65,18394
0,5,67,18593,47,18526
0,6,67,18707,279,18640
0,7,67,19053,161,18986
0,8,67,19281,355,19214
0,9,67,19703,365,19636
1,0,14320,14320,91,0
1,1,67,14478,41,14411
1,2,67,14586,55,14519
1,3,67,14708,69,14641
1,4,67,14844,140,14777
1,5,67,15051,359,14984
1,6,67,15477,1579,15410
1,7,67,17123,964,17056
1,8,67,18154,1062,18087
1,9,67,19283,197,19216
2,0,12405,12405,215,0
2,1,67,12687,58,12620
2,2,67,12812,39,12745
2,3,67,12918,47,12851
2,4,67,13032,59,12965
2,5,67,13158,105,13091
2,6,67,13330,222,13263
2,7,67,13619,544,13552
2,8,67,14230,492,14163
2,9,67,14789,214,14722
3,0,14313,14313,87,0
3,1,67,14467,42,14400
3,2,67,14576,46,14509
3,3,67,14689,113,14622
3,4,67,14869,210,14802
3,5,67,15146,161,15079
3,6,67,15374,248,15307
3,7,67,15689,572,15622
3,8,67,16328,47,16261
3,9,67,16442,585,16375
4,0,16416,16416,133,0
4,1,67,16616,42,16549
4,2,67,16725,43,16658
4,3,67,16835,56,16768
4,4,67,16958,384,16891
4,5,67,17409,368,17342
4,6,67,17844,3251,17777
4,7,67,21162,358,21095
4,8,67,21587,359,21520
4,9,67,22013,387,21946
5,0,18201,18201,314,0
5,1,67,18582,38,18515
5,2,67,18687,58,18620
5,3,67,18812,71,18745
5,4,67,18950,537,18883
5,5,67,19554,74,19487
5,6,190,19818,4324,19628
5,7,67,24209,323,24142
5,8,67,24599,402,24532
6,0,18703,18703,160,0
6,1,67,18930,38,18863
6,2,67,19035,44,18968
6,3,67,19146,57,19079
6,4,67,19270,49,19203
6,5,67,19386,251,19319
6,6,67,19704,223,19637
6,7,67,19994,120,19927
6,8,67,20181,134,20114
6,9,67,20382,639,20315
7,0,13426,13426,118,0
7,1,67,13611,40,13544
7,2,67,13718,40,13651
7,3,67,13825,42,13758
7,4,67,13934,38,13867
7,5,67,14039,101,13972
7,6,67,14207,59,14140
